payment_id,client_service_id,payment_date,old_institution_snapshot,old_total_snapshot,new_institution_snapshot,new_total_snapshot,action,status
1,1,2025-11-04T07:37:22.872654+00:00,0.00,1000.00,100.00,100.00,updated,success
2,3,2025-11-04T08:29:05.258059+00:00,0.00,700.00,100.00,100.00,updated,success
6,3,2025-11-07T13:10:12.760733+00:00,0.00,700.00,100.00,100.00,updated,success
7,4,2025-11-07T13:11:35.039921+00:00,100.00,200.00,100.00,200.00,skipped,ok
8,5,2025-11-07T13:27:44.031062+00:00,4000.00,5000.00,4000.00,5000.00,skipped,ok
9,6,2025-11-07T13:28:20.715970+00:00,4000.00,7000.00,4000.00,7000.00,skipped,ok
10,6,2025-11-07T13:30:03.214465+00:00,4000.00,7000.00,4000.00,7000.00,skipped,ok
